Data_Set,Data Type,Parameter,Value
Turkey_2_9.ld,r2Pear,init,0.11487282353357753
Turkey_2_9.ld,r2Pear,lam,-2.6014287896406623e-07
Turkey_3_10.ld,r2Pear,AIC,-625204170.2154175
Turkey_3_10.ld,r2Pear,init,0.11737254387118433
Turkey_3_10.ld,r2Pear,lam,-2.7824300238421644e-07
Turkey_3_1.ld,r2Pear,AIC,-626303718.93421555
Turkey_3_1.ld,r2Pear,init,0.11625938632233297
Turkey_3_1.ld,r2Pear,lam,-2.5275022242199477e-07
Turkey_3_2.ld,r2Pear,AIC,-628355826.32547367
Turkey_3_2.ld,r2Pear,init,0.11679306318041892
Turkey_3_2.ld,r2Pear,lam,-2.5439923832862024e-07
Turkey_3_3.ld,r2Pear,AIC,-628935622.66446865
Turkey_3_3.ld,r2Pear,init,0.1165416386896073
Turkey_3_3.ld,r2Pear,lam,-2.6612715774751009e-07
Turkey_3_4.ld,r2Pear,AIC,-626262765.50243902
Turkey_3_4.ld,r2Pear,init,0.11820707229112624
Turkey_3_4.ld,r2Pear,lam,-2.5471420729542444e-07
Turkey_3_5.ld,r2Pear,AIC,-620837548.46286893
Turkey_3_5.ld,r2Pear,init,0.11786812875653929
Turkey_3_5.ld,r2Pear,lam,-2.6196235055607146e-07
Turkey_3_6.ld,r2Pear,AIC,-632917451.10992205
Turkey_3_6.ld,r2Pear,init,0.11500176876189445
Turkey_3_6.ld,r2Pear,lam,-2.612639811707127e-07
Turkey_3_7.ld,r2Pear,AIC,-635415736.41842675
Turkey_3_7.ld,r2Pear,init,0.1148699028950551
Turkey_3_7.ld,r2Pear,lam,-2.7288152281480912e-07
Turkey_3_8.ld,r2Pear,AIC,-630919206.2170347
Turkey_3_8.ld,r2Pear,init,0.11623009673453447
Turkey_3_8.ld,r2Pear,lam,-2.6261698936068451e-07
Turkey_3_9.ld,r2Pear,AIC,-629085651.03658938
Turkey_3_9.ld,r2Pear,init,0.11632644171981556
Turkey_3_9.ld,r2Pear,lam,-2.6105153836308792e-07
Turkey_4_10.ld,r2Pear,AIC,-628530659.12515593
Turkey_4_10.ld,r2Pear,init,0.11620229078870187
Turkey_4_10.ld,r2Pear,lam,-2.5331062629416494e-07
Turkey_4_1.ld,r2Pear,AIC,-629347208.73035061
Turkey_4_1.ld,r2Pear,init,0.11552323178440278
Turkey_4_1.ld,r2Pear,lam,-2.5231477207092272e-07
Turkey_4_2.ld,r2Pear,AIC,-631531923.11512256
Turkey_4_2.ld,r2Pear,init,0.11622664991464614
Turkey_4_2.ld,r2Pear,lam,-2.6740603775953853e-07
Turkey_4_3.ld,r2Pear,AIC,-627352495.33224213
Turkey_4_3.ld,r2Pear,init,0.1161591922265774
Turkey_4_3.ld,r2Pear,lam,-2.6908394055272253e-07
Turkey_4_4.ld,r2Pear,AIC,-630352392.28244746
Turkey_4_4.ld,r2Pear,init,0.11572798760465726
Turkey_4_4.ld,r2Pear,lam,-2.7765786575301541e-07
Turkey_4_5.ld,r2Pear,AIC,-626670671.17430496
Turkey_4_5.ld,r2Pear,init,0.11736475940200945
Turkey_4_5.ld,r2Pear,lam,-2.5559459238289993e-07
Turkey_4_6.ld,r2Pear,AIC,-628646222.15243435
Turkey_4_6.ld,r2Pear,init,0.11659684552841007
Turkey_4_6.ld,r2Pear,lam,-2.5732654148164516e-07
Turkey_4_7.ld,r2Pear,AIC,-630412670.23076069
Turkey_4_7.ld,r2Pear,init,0.11505165458098172
Turkey_4_7.ld,r2Pear,lam,-2.5668060119081567e-07
Turkey_4_8.ld,r2Pear,AIC,-621569690.53575933
Turkey_4_8.ld,r2Pear,init,0.11920151309983995
Turkey_4_8.ld,r2Pear,lam,-2.5382067886085679e-07
Turkey_4_9.ld,r2Pear,AIC,-633629891.61825538
Turkey_4_9.ld,r2Pear,init,0.11411228925158336
Turkey_4_9.ld,r2Pear,lam,-2.7023681471026233e-07
Turkey_5_10.ld,r2Pear,AIC,-630069626.28439808
Turkey_5_10.ld,r2Pear,init,0.11698112011993658
Turkey_5_10.ld,r2Pear,lam,-2.7650117815062697e-07
Turkey_5_1.ld,r2Pear,AIC,-631653577.53605759
Turkey_5_1.ld,r2Pear,init,0.11533139150349826
Turkey_5_1.ld,r2Pear,lam,-2.6709299563964101e-07
Turkey_5_2.ld,r2Pear,AIC,-628181472.58454645
Turkey_5_2.ld,r2Pear,init,0.11659003341664552
Turkey_5_2.ld,r2Pear,lam,-2.6403840687867192e-07
Turkey_5_3.ld,r2Pear,AIC,-630502824.18651676
Turkey_5_3.ld,r2Pear,init,0.11637843123641889
Turkey_5_3.ld,r2Pear,lam,-2.5800593724778408e-07
Turkey_5_4.ld,r2Pear,AIC,-622385201.81084621
Turkey_5_4.ld,r2Pear,init,0.11798118871605213
Turkey_5_4.ld,r2Pear,lam,-2.7051296360929087e-07
Turkey_5_5.ld,r2Pear,AIC,-632208190.23257327
Turkey_5_5.ld,r2Pear,init,0.11462674142428095
Turkey_5_5.ld,r2Pear,lam,-2.5349238668369816e-07
Turkey_5_6.ld,r2Pear,AIC,-633669031.68737805
Turkey_5_6.ld,r2Pear,init,0.11549698051802143
Turkey_5_6.ld,r2Pear,lam,-2.656264016991727e-07
Turkey_5_7.ld,r2Pear,AIC,-631525383.18749321
Turkey_5_7.ld,r2Pear,init,0.11508946941765555
Turkey_5_7.ld,r2Pear,lam,-2.5655258248516374e-07
Turkey_5_8.ld,r2Pear,AIC,-632510006.96490002
Turkey_5_8.ld,r2Pear,init,0.114628424584997
Turkey_5_8.ld,r2Pear,lam,-2.4472173813951119e-07
Turkey_5_9.ld,r2Pear,AIC,-626727708.17944539
Turkey_5_9.ld,r2Pear,init,0.11694296844690627
Turkey_5_9.ld,r2Pear,lam,-2.8605362462900075e-07
Turkey_6_10.ld,r2Pear,AIC,-631746134.55220783
Turkey_6_10.ld,r2Pear,init,0.11392898632139759
Turkey_6_10.ld,r2Pear,lam,-2.4899753037494274e-07
Turkey_6_1.ld,r2Pear,AIC,-629320691.62355256
Turkey_6_1.ld,r2Pear,init,0.11578526708756513
Turkey_6_1.ld,r2Pear,lam,-2.6644419684034713e-07
Turkey_6_2.ld,r2Pear,AIC,-627891665.45903087
Turkey_6_2.ld,r2Pear,init,0.11522320118435672
Turkey_6_2.ld,r2Pear,lam,-2.6950913695582991e-07
Turkey_6_3.ld,r2Pear,AIC,-626874128.88988256
Turkey_6_3.ld,r2Pear,init,0.11795339636361682
Turkey_6_3.ld,r2Pear,lam,-2.8129856396402613e-07
Turkey_6_4.ld,r2Pear,AIC,-634313496.33719051
Turkey_6_4.ld,r2Pear,init,0.11503889116835453
Turkey_6_4.ld,r2Pear,lam,-2.7102800520601374e-07
Turkey_6_5.ld,r2Pear,AIC,-631656465.33118236
Turkey_6_5.ld,r2Pear,init,0.11527824947425078
Turkey_6_5.ld,r2Pear,lam,-2.507611849986697e-07
Turkey_6_6.ld,r2Pear,AIC,-628374058.70118225
Turkey_6_6.ld,r2Pear,init,0.11667720196033793
Turkey_6_6.ld,r2Pear,lam,-2.7551009590567329e-07
Turkey_6_7.ld,r2Pear,AIC,-630600504.9282608
Turkey_6_7.ld,r2Pear,init,0.11506595139534569
Turkey_6_7.ld,r2Pear,lam,-2.3560486278166011e-07
Turkey_6_8.ld,r2Pear,AIC,-629458344.47305942
Turkey_6_8.ld,r2Pear,init,0.11617861104251198
Turkey_6_8.ld,r2Pear,lam,-2.3458995780032952e-07
Turkey_6_9.ld,r2Pear,AIC,-626366144.46848118
Turkey_6_9.ld,r2Pear,init,0.11770485522948054
Turkey_6_9.ld,r2Pear,lam,-2.6456144795892959e-07
Turkey_7_10.ld,r2Pear,AIC,-626849171.9208746
Turkey_7_10.ld,r2Pear,init,0.11746841149483625
Turkey_7_10.ld,r2Pear,lam,-2.6510983569531787e-07
Turkey_7_1.ld,r2Pear,AIC,-632992938.30336654
Turkey_7_1.ld,r2Pear,init,0.1146360671697081
Turkey_7_1.ld,r2Pear,lam,-2.5059619076274086e-07
Turkey_7_2.ld,r2Pear,AIC,-626175659.6656189
Turkey_7_2.ld,r2Pear,init,0.11771376051523756
Turkey_7_2.ld,r2Pear,lam,-2.748624369394353e-07
Turkey_7_3.ld,r2Pear,AIC,-631561843.53001189
Turkey_7_3.ld,r2Pear,init,0.11526189081441111
Turkey_7_3.ld,r2Pear,lam,-2.5741796639243827e-07
Turkey_7_4.ld,r2Pear,AIC,-634243601.5404675
Turkey_7_4.ld,r2Pear,init,0.11549204003413428
Turkey_7_4.ld,r2Pear,lam,-2.690985715102293e-07
Turkey_7_5.ld,r2Pear,AIC,-633317880.96958935
Turkey_7_5.ld,r2Pear,init,0.11500430423398818
Turkey_7_5.ld,r2Pear,lam,-2.4232933995752894e-07
Turkey_7_6.ld,r2Pear,AIC,-626214026.99755073
Turkey_7_6.ld,r2Pear,init,0.11757502730181603
Turkey_7_6.ld,r2Pear,lam,-2.7196900399364625e-07
Turkey_7_7.ld,r2Pear,AIC,-624071970.94949794
Turkey_7_7.ld,r2Pear,init,0.11739488739355471
Turkey_7_7.ld,r2Pear,lam,-2.6016467484229712e-07
Turkey_7_8.ld,r2Pear,AIC,-628087081.58542228
Turkey_7_8.ld,r2Pear,init,0.11598608605669922
Turkey_7_8.ld,r2Pear,lam,-2.6772152170720102e-07
Turkey_7_9.ld,r2Pear,AIC,-632644399.48863411
Turkey_7_9.ld,r2Pear,init,0.11643396223683392
Turkey_7_9.ld,r2Pear,lam,-2.5249735139586814e-07
Turkey_8_10.ld,r2Pear,AIC,-631913602.58148408
Turkey_8_10.ld,r2Pear,init,0.11479960148713925
Turkey_8_10.ld,r2Pear,lam,-2.707026559673624e-07
Turkey_8_1.ld,r2Pear,AIC,-632949447.66340792
Turkey_8_1.ld,r2Pear,init,0.11472676374875448
Turkey_8_1.ld,r2Pear,lam,-2.5644181814994232e-07
Turkey_8_2.ld,r2Pear,AIC,-628717681.003703
Turkey_8_2.ld,r2Pear,init,0.11543349869411158
Turkey_8_2.ld,r2Pear,lam,-2.6009367952939983e-07
Turkey_8_3.ld,r2Pear,AIC,-627718284.78812182
Turkey_8_3.ld,r2Pear,init,0.11584410889571861
Turkey_8_3.ld,r2Pear,lam,-2.427387456797322e-07
Turkey_8_4.ld,r2Pear,AIC,-631619701.10070014
Turkey_8_4.ld,r2Pear,init,0.116312647587396
Turkey_8_4.ld,r2Pear,lam,-2.6175250742026002e-07
Turkey_8_5.ld,r2Pear,AIC,-626484446.19937253
Turkey_8_5.ld,r2Pear,init,0.1171281846453229
Turkey_8_5.ld,r2Pear,lam,-2.7490440055452683e-07
Turkey_8_6.ld,r2Pear,AIC,-630046105.16837025
Turkey_8_6.ld,r2Pear,init,0.11556320697929057
Turkey_8_6.ld,r2Pear,lam,-2.7243039782750367e-07
Turkey_8_7.ld,r2Pear,AIC,-623653658.55602193
Turkey_8_7.ld,r2Pear,init,0.11824561904133002
Turkey_8_7.ld,r2Pear,lam,-2.8556617817529489e-07
Turkey_8_8.ld,r2Pear,AIC,-623522844.3182894
Turkey_8_8.ld,r2Pear,init,0.11685756013862968
