Data_Set,Data Type,Parameter,Value
Turkey_2_9.ld,r2GLS,init,0.15628469355780575
Turkey_2_9.ld,r2GLS,lam,-3.189623794870901e-07
Turkey_3_10.ld,r2GLS,AIC,-489026300.56771189
Turkey_3_10.ld,r2GLS,init,0.15817433939095848
Turkey_3_10.ld,r2GLS,lam,-3.2431286963645828e-07
Turkey_3_1.ld,r2GLS,AIC,-487423926.43411869
Turkey_3_1.ld,r2GLS,init,0.15940529131275727
Turkey_3_1.ld,r2GLS,lam,-3.1849638416984896e-07
Turkey_3_2.ld,r2GLS,AIC,-488696572.11258388
Turkey_3_2.ld,r2GLS,init,0.15573835804021813
Turkey_3_2.ld,r2GLS,lam,-3.117106436179741e-07
Turkey_3_3.ld,r2GLS,AIC,-487536119.3971101
Turkey_3_3.ld,r2GLS,init,0.15732898306075399
Turkey_3_3.ld,r2GLS,lam,-3.0044413450498497e-07
Turkey_3_4.ld,r2GLS,AIC,-486379052.31261432
Turkey_3_4.ld,r2GLS,init,0.1576067498268772
Turkey_3_4.ld,r2GLS,lam,-3.0510093879845186e-07
Turkey_3_5.ld,r2GLS,AIC,-488678349.73548585
Turkey_3_5.ld,r2GLS,init,0.15791444352269568
Turkey_3_5.ld,r2GLS,lam,-3.4089668768135493e-07
Turkey_3_6.ld,r2GLS,AIC,-490406597.27893496
Turkey_3_6.ld,r2GLS,init,0.15718135056069077
Turkey_3_6.ld,r2GLS,lam,-3.0608485094203062e-07
Turkey_3_7.ld,r2GLS,AIC,-489706390.8144263
Turkey_3_7.ld,r2GLS,init,0.15649515947360218
Turkey_3_7.ld,r2GLS,lam,-3.1324944450960718e-07
Turkey_3_8.ld,r2GLS,AIC,-488591900.65907007
Turkey_3_8.ld,r2GLS,init,0.15710162095870517
Turkey_3_8.ld,r2GLS,lam,-3.1005744812479285e-07
Turkey_3_9.ld,r2GLS,AIC,-489195409.90246588
Turkey_3_9.ld,r2GLS,init,0.1570034528257811
Turkey_3_9.ld,r2GLS,lam,-3.1459200644626437e-07
Turkey_4_10.ld,r2GLS,AIC,-488588504.38338357
Turkey_4_10.ld,r2GLS,init,0.15679036074508396
Turkey_4_10.ld,r2GLS,lam,-3.253214895518019e-07
Turkey_4_1.ld,r2GLS,AIC,-491045285.78069359
Turkey_4_1.ld,r2GLS,init,0.15633938395591745
Turkey_4_1.ld,r2GLS,lam,-3.1160953016312866e-07
Turkey_4_2.ld,r2GLS,AIC,-489714006.58419812
Turkey_4_2.ld,r2GLS,init,0.1572606092649094
Turkey_4_2.ld,r2GLS,lam,-3.029607185531201e-07
Turkey_4_3.ld,r2GLS,AIC,-489138867.19022804
Turkey_4_3.ld,r2GLS,init,0.15610465099525042
Turkey_4_3.ld,r2GLS,lam,-3.181826620350223e-07
Turkey_4_4.ld,r2GLS,AIC,-490074003.34526795
Turkey_4_4.ld,r2GLS,init,0.15831991876200827
Turkey_4_4.ld,r2GLS,lam,-3.2376218888040941e-07
Turkey_4_5.ld,r2GLS,AIC,-488162021.1692906
Turkey_4_5.ld,r2GLS,init,0.15787368637052829
Turkey_4_5.ld,r2GLS,lam,-3.0387050452133804e-07
Turkey_4_6.ld,r2GLS,AIC,-490671436.7246719
Turkey_4_6.ld,r2GLS,init,0.15495782816879294
Turkey_4_6.ld,r2GLS,lam,-3.1544844806994387e-07
Turkey_4_7.ld,r2GLS,AIC,-490250515.15434659
Turkey_4_7.ld,r2GLS,init,0.15649050893109695
Turkey_4_7.ld,r2GLS,lam,-3.1480875492787401e-07
Turkey_4_8.ld,r2GLS,AIC,-491351036.88448101
Turkey_4_8.ld,r2GLS,init,0.15724065116141581
Turkey_4_8.ld,r2GLS,lam,-3.1932743992466629e-07
Turkey_4_9.ld,r2GLS,AIC,-488523971.81831938
Turkey_4_9.ld,r2GLS,init,0.15790187663022118
Turkey_4_9.ld,r2GLS,lam,-2.9580807627794058e-07
Turkey_5_10.ld,r2GLS,AIC,-492631911.09650826
Turkey_5_10.ld,r2GLS,init,0.15405413373378812
Turkey_5_10.ld,r2GLS,lam,-3.2164274660658896e-07
Turkey_5_1.ld,r2GLS,AIC,-488503140.08876789
Turkey_5_1.ld,r2GLS,init,0.1586759267242116
Turkey_5_1.ld,r2GLS,lam,-3.3026184205440165e-07
Turkey_5_2.ld,r2GLS,AIC,-488764965.06669855
Turkey_5_2.ld,r2GLS,init,0.158000967098651
Turkey_5_2.ld,r2GLS,lam,-3.1305481511085926e-07
Turkey_5_3.ld,r2GLS,AIC,-487761308.72307199
Turkey_5_3.ld,r2GLS,init,0.15751987430037082
Turkey_5_3.ld,r2GLS,lam,-3.0105841456846137e-07
Turkey_5_4.ld,r2GLS,AIC,-491782443.22465998
Turkey_5_4.ld,r2GLS,init,0.15591623110342853
Turkey_5_4.ld,r2GLS,lam,-3.2946575035470462e-07
Turkey_5_5.ld,r2GLS,AIC,-489365535.33790988
Turkey_5_5.ld,r2GLS,init,0.15824794213554683
Turkey_5_5.ld,r2GLS,lam,-3.2063214388879e-07
Turkey_5_6.ld,r2GLS,AIC,-490233208.6524477
Turkey_5_6.ld,r2GLS,init,0.15664574381838114
Turkey_5_6.ld,r2GLS,lam,-3.0314187652506617e-07
Turkey_5_7.ld,r2GLS,AIC,-490261127.54999661
Turkey_5_7.ld,r2GLS,init,0.15729578267818947
Turkey_5_7.ld,r2GLS,lam,-3.0981277562143128e-07
Turkey_5_8.ld,r2GLS,AIC,-491174871.47024858
Turkey_5_8.ld,r2GLS,init,0.15556971358393851
Turkey_5_8.ld,r2GLS,lam,-3.3166360120511975e-07
Turkey_5_9.ld,r2GLS,AIC,-490236971.97726423
Turkey_5_9.ld,r2GLS,init,0.15615100996542378
Turkey_5_9.ld,r2GLS,lam,-3.0168633389924791e-07
Turkey_6_10.ld,r2GLS,AIC,-487344197.54755592
Turkey_6_10.ld,r2GLS,init,0.15856812134583623
Turkey_6_10.ld,r2GLS,lam,-3.0032145758566184e-07
Turkey_6_1.ld,r2GLS,AIC,-488229135.18887031
Turkey_6_1.ld,r2GLS,init,0.15875688407648769
Turkey_6_1.ld,r2GLS,lam,-3.0167296584826023e-07
Turkey_6_2.ld,r2GLS,AIC,-487614281.56542552
Turkey_6_2.ld,r2GLS,init,0.15884722362292927
Turkey_6_2.ld,r2GLS,lam,-3.0937140181757385e-07
Turkey_6_3.ld,r2GLS,AIC,-490846214.74767858
Turkey_6_3.ld,r2GLS,init,0.1568033031721785
Turkey_6_3.ld,r2GLS,lam,-3.1314543185249077e-07
Turkey_6_4.ld,r2GLS,AIC,-492075686.94669837
Turkey_6_4.ld,r2GLS,init,0.15521550217212923
Turkey_6_4.ld,r2GLS,lam,-3.1288064307926617e-07
Turkey_6_5.ld,r2GLS,AIC,-487232031.69931412
Turkey_6_5.ld,r2GLS,init,0.15844347380187329
Turkey_6_5.ld,r2GLS,lam,-3.1844480679991441e-07
Turkey_6_6.ld,r2GLS,AIC,-487807530.26783079
Turkey_6_6.ld,r2GLS,init,0.15742959685112096
Turkey_6_6.ld,r2GLS,lam,-3.0591250093497607e-07
Turkey_6_7.ld,r2GLS,AIC,-490906369.33309728
Turkey_6_7.ld,r2GLS,init,0.15591974554353991
Turkey_6_7.ld,r2GLS,lam,-3.0243956270396358e-07
Turkey_6_8.ld,r2GLS,AIC,-491536162.21079248
Turkey_6_8.ld,r2GLS,init,0.15533363213963558
Turkey_6_8.ld,r2GLS,lam,-3.1256833548374003e-07
Turkey_6_9.ld,r2GLS,AIC,-490510661.79705316
Turkey_6_9.ld,r2GLS,init,0.15630941727244202
Turkey_6_9.ld,r2GLS,lam,-3.0787831452725339e-07
Turkey_7_10.ld,r2GLS,AIC,-486520664.8776961
Turkey_7_10.ld,r2GLS,init,0.16072794476844332
Turkey_7_10.ld,r2GLS,lam,-3.5052579920164309e-07
Turkey_7_1.ld,r2GLS,AIC,-489211577.53497553
Turkey_7_1.ld,r2GLS,init,0.15557631860043034
Turkey_7_1.ld,r2GLS,lam,-3.087687382442832e-07
Turkey_7_2.ld,r2GLS,AIC,-489225398.46796161
Turkey_7_2.ld,r2GLS,init,0.15876026861345394
Turkey_7_2.ld,r2GLS,lam,-3.303620670780834e-07
Turkey_7_3.ld,r2GLS,AIC,-487270225.30369562
Turkey_7_3.ld,r2GLS,init,0.15808520931836159
Turkey_7_3.ld,r2GLS,lam,-3.0348957638812026e-07
Turkey_7_4.ld,r2GLS,AIC,-484503814.49046332
Turkey_7_4.ld,r2GLS,init,0.15999898999017362
Turkey_7_4.ld,r2GLS,lam,-3.1018738112279328e-07
Turkey_7_5.ld,r2GLS,AIC,-490246181.14059669
Turkey_7_5.ld,r2GLS,init,0.15711294882626214
Turkey_7_5.ld,r2GLS,lam,-3.2466183563326204e-07
Turkey_7_6.ld,r2GLS,AIC,-490476000.2747398
Turkey_7_6.ld,r2GLS,init,0.15578823867662298
Turkey_7_6.ld,r2GLS,lam,-3.1348732828914934e-07
Turkey_7_7.ld,r2GLS,AIC,-488618635.2485795
Turkey_7_7.ld,r2GLS,init,0.15805064048388129
Turkey_7_7.ld,r2GLS,lam,-2.9852202288361818e-07
Turkey_7_8.ld,r2GLS,AIC,-490733284.61221218
Turkey_7_8.ld,r2GLS,init,0.15753162142906027
Turkey_7_8.ld,r2GLS,lam,-3.2949951216754583e-07
Turkey_7_9.ld,r2GLS,AIC,-490275157.25795949
Turkey_7_9.ld,r2GLS,init,0.15729493110961171
Turkey_7_9.ld,r2GLS,lam,-3.4259342310656953e-07
Turkey_8_10.ld,r2GLS,AIC,-487743932.66279209
Turkey_8_10.ld,r2GLS,init,0.15641728606826363
Turkey_8_10.ld,r2GLS,lam,-2.9242469885610167e-07
Turkey_8_1.ld,r2GLS,AIC,-488064957.88456565
Turkey_8_1.ld,r2GLS,init,0.15953837877046889
Turkey_8_1.ld,r2GLS,lam,-3.1759074643010663e-07
Turkey_8_2.ld,r2GLS,AIC,-489853893.0166285
Turkey_8_2.ld,r2GLS,init,0.15699554836080176
Turkey_8_2.ld,r2GLS,lam,-3.3879237359010325e-07
Turkey_8_3.ld,r2GLS,AIC,-489597927.27919734
Turkey_8_3.ld,r2GLS,init,0.15750151857252032
Turkey_8_3.ld,r2GLS,lam,-3.3883262677421725e-07
Turkey_8_4.ld,r2GLS,AIC,-489278722.07112145
Turkey_8_4.ld,r2GLS,init,0.15781492823640247
Turkey_8_4.ld,r2GLS,lam,-3.150625918731566e-07
Turkey_8_5.ld,r2GLS,AIC,-488968043.51884377
Turkey_8_5.ld,r2GLS,init,0.15833870762097463
Turkey_8_5.ld,r2GLS,lam,-3.2475882025220068e-07
Turkey_8_6.ld,r2GLS,AIC,-489160635.16951668
Turkey_8_6.ld,r2GLS,init,0.15715866958772218
Turkey_8_6.ld,r2GLS,lam,-3.132669449955899e-07
Turkey_8_7.ld,r2GLS,AIC,-486775181.54889351
Turkey_8_7.ld,r2GLS,init,0.15851726784226494
Turkey_8_7.ld,r2GLS,lam,-3.2767540224874782e-07
Turkey_8_8.ld,r2GLS,AIC,-488256692.66294789
Turkey_8_8.ld,r2GLS,init,0.15770435404473104
Turkey_8_8.ld,r2GLS,lam,-3.2835675716919192e-07
Turkey_8_9.ld,r2GLS,AIC,-490329734.77472007
Turkey_8_9.ld,r2GLS,init,0.15792499312150979
Turkey_8_9.ld,r2GLS,lam,-3.131819761691984e-07
Turkey_9_10.ld,r2GLS,AIC,-489970095.92393482
Turkey_9_10.ld,r2GLS,init,0.15668855627307315
Turkey_9_10.ld,r2GLS,lam,-3.0034332160937067e-07
Turkey_9_1.ld,r2GLS,AIC,-492351443.91160929
Turkey_9_1.ld,r2GLS,init,0.15557748938114632
Turkey_9_1.ld,r2GLS,lam,-3.1192865162129845e-07
Turkey_9_2.ld,r2GLS,AIC,-490065626.25524461
Turkey_9_2.ld,r2GLS,init,0.15716541693235084
Turkey_9_2.ld,r2GLS,lam,-3.244854286191048e-07
Turkey_9_3.ld,r2GLS,AIC,-488652127.34013808
Turkey_9_3.ld,r2GLS,init,0.15868956007929289
Turkey_9_3.ld,r2GLS,lam,-3.1761298244662529e-07
Turkey_9_4.ld,r2GLS,AIC,-492328357.22376078
Turkey_9_4.ld,r2GLS,init,0.1554602152855673
Turkey_9_4.ld,r2GLS,lam,-3.2713826403829209e-07
Turkey_9_5.ld,r2GLS,AIC,-489503837.98559636
Turkey_9_5.ld,r2GLS,init,0.15698940088297356
Turkey_9_5.ld,r2GLS,lam,-2.9534599242540851e-07
Turkey_9_6.ld,r2GLS,AIC,-491188288.48084712
Turkey_9_6.ld,r2GLS,init,0.15619234782713262
Turkey_9_6.ld,r2GLS,lam,-3.14450857644959e-07
Turkey_9_7.ld,r2GLS,AIC,-486967390.50464755
Turkey_9_7.ld,r2GLS,init,0.15932064811689373
Turkey_9_7.ld,r2GLS,lam,-3.1218517767644058e-07
Turkey_9_8.ld,r2GLS,AIC,-489238643.90014523
Turkey_9_8.ld,r2GLS,init,0.15635138998681095
Turkey_9_8.ld,r2GLS,lam,-3.0141220630432089e-07
Turkey_9_9.ld,r2GLS,AIC,-488262379.09138221
Turkey_9_9.ld,r2GLS,init,0.15941940538817773
Turkey_9_9.ld,r2GLS,lam,-3.3273629323277725e-07
