Data_Set,Data Type,Parameter,Value
Duck_3_10.ld,r2Pear,init,0.068030071009541448
Duck_3_10.ld,r2Pear,lam,-2.4282114553322563e-07
Duck_3_1.ld,r2Pear,AIC,-611637206.46037495
Duck_3_1.ld,r2Pear,init,0.068415199649051031
Duck_3_1.ld,r2Pear,lam,-2.3596423009731683e-07
Duck_3_2.ld,r2Pear,AIC,-614839487.19788027
Duck_3_2.ld,r2Pear,init,0.068227818222090633
Duck_3_2.ld,r2Pear,lam,-2.3892723596172392e-07
Duck_3_3.ld,r2Pear,AIC,-613443982.60217369
Duck_3_3.ld,r2Pear,init,0.067932394852397091
Duck_3_3.ld,r2Pear,lam,-2.2084331897881227e-07
Duck_3_4.ld,r2Pear,AIC,-615082876.60058546
Duck_3_4.ld,r2Pear,init,0.068168682067848929
Duck_3_4.ld,r2Pear,lam,-2.4059721544355286e-07
Duck_3_5.ld,r2Pear,AIC,-612452454.69236267
Duck_3_5.ld,r2Pear,init,0.068346570750533714
Duck_3_5.ld,r2Pear,lam,-2.3391876866163673e-07
Duck_3_6.ld,r2Pear,AIC,-612701207.19250083
Duck_3_6.ld,r2Pear,init,0.067856789475272045
Duck_3_6.ld,r2Pear,lam,-2.2370754312882081e-07
Duck_3_7.ld,r2Pear,AIC,-611695292.08294058
Duck_3_7.ld,r2Pear,init,0.068254391069600892
Duck_3_7.ld,r2Pear,lam,-2.3080508293013759e-07
Duck_3_8.ld,r2Pear,AIC,-613899782.21170783
Duck_3_8.ld,r2Pear,init,0.068185788224465971
Duck_3_8.ld,r2Pear,lam,-2.3140840466313054e-07
Duck_3_9.ld,r2Pear,AIC,-612801697.14567637
Duck_3_9.ld,r2Pear,init,0.068098308141160149
Duck_3_9.ld,r2Pear,lam,-2.2919851702939631e-07
Duck_4_10.ld,r2Pear,AIC,-613366657.23155069
Duck_4_10.ld,r2Pear,init,0.068702705468654743
Duck_4_10.ld,r2Pear,lam,-2.380024107934612e-07
Duck_4_1.ld,r2Pear,AIC,-614534773.48140597
Duck_4_1.ld,r2Pear,init,0.067908807121221784
Duck_4_1.ld,r2Pear,lam,-2.2877346167720934e-07
Duck_4_2.ld,r2Pear,AIC,-612229317.83949697
Duck_4_2.ld,r2Pear,init,0.068560277653882548
Duck_4_2.ld,r2Pear,lam,-2.2417651936841435e-07
Duck_4_3.ld,r2Pear,AIC,-611242822.62597525
Duck_4_3.ld,r2Pear,init,0.068257108454473497
Duck_4_3.ld,r2Pear,lam,-2.3319210136810134e-07
Duck_4_4.ld,r2Pear,AIC,-612335233.83592391
Duck_4_4.ld,r2Pear,init,0.067937355041386441
Duck_4_4.ld,r2Pear,lam,-2.1791233275881808e-07
Duck_4_5.ld,r2Pear,AIC,-612783475.92049074
Duck_4_5.ld,r2Pear,init,0.068130869612165412
Duck_4_5.ld,r2Pear,lam,-2.2690668892036807e-07
Duck_4_6.ld,r2Pear,AIC,-613332075.65833592
Duck_4_6.ld,r2Pear,init,0.06847556360826651
Duck_4_6.ld,r2Pear,lam,-2.3274515937916509e-07
Duck_4_7.ld,r2Pear,AIC,-613966406.49930072
Duck_4_7.ld,r2Pear,init,0.068262229655194864
Duck_4_7.ld,r2Pear,lam,-2.4035922425428798e-07
Duck_4_8.ld,r2Pear,AIC,-613232212.81321681
Duck_4_8.ld,r2Pear,init,0.068255714803960851
Duck_4_8.ld,r2Pear,lam,-2.3175602712289852e-07
Duck_4_9.ld,r2Pear,AIC,-614795782.56787145
Duck_4_9.ld,r2Pear,init,0.06782828384804343
Duck_4_9.ld,r2Pear,lam,-2.19961044894721e-07
Duck_5_10.ld,r2Pear,AIC,-613835032.08456802
Duck_5_10.ld,r2Pear,init,0.068591009400474898
Duck_5_10.ld,r2Pear,lam,-2.5211607409643842e-07
Duck_5_1.ld,r2Pear,AIC,-611302006.85682321
Duck_5_1.ld,r2Pear,init,0.06857153866363859
Duck_5_1.ld,r2Pear,lam,-2.3656139816878917e-07
Duck_5_2.ld,r2Pear,AIC,-612264840.1669898
Duck_5_2.ld,r2Pear,init,0.068607592492501104
Duck_5_2.ld,r2Pear,lam,-2.3988714812580461e-07
Duck_5_3.ld,r2Pear,AIC,-614559065.20541596
Duck_5_3.ld,r2Pear,init,0.067781814846454555
Duck_5_3.ld,r2Pear,lam,-2.1914920640349945e-07
Duck_5_4.ld,r2Pear,AIC,-613736461.85701847
Duck_5_4.ld,r2Pear,init,0.068404290362791734
Duck_5_4.ld,r2Pear,lam,-2.3215475000150822e-07
Duck_5_5.ld,r2Pear,AIC,-615403859.63022053
Duck_5_5.ld,r2Pear,init,0.06802944315407923
Duck_5_5.ld,r2Pear,lam,-2.1786366819619884e-07
Duck_5_6.ld,r2Pear,AIC,-613807815.10126197
Duck_5_6.ld,r2Pear,init,0.067947292942374227
Duck_5_6.ld,r2Pear,lam,-2.215620518578744e-07
Duck_5_7.ld,r2Pear,AIC,-613923386.47713614
Duck_5_7.ld,r2Pear,init,0.067963622253059061
Duck_5_7.ld,r2Pear,lam,-2.2878066870066852e-07
Duck_5_8.ld,r2Pear,AIC,-613189756.2408632
Duck_5_8.ld,r2Pear,init,0.068233121361718968
Duck_5_8.ld,r2Pear,lam,-2.3484844442054329e-07
Duck_5_9.ld,r2Pear,AIC,-613318219.42160225
Duck_5_9.ld,r2Pear,init,0.068229463857763531
Duck_5_9.ld,r2Pear,lam,-2.3435368399342578e-07
Duck_6_10.ld,r2Pear,AIC,-612447585.73600709
Duck_6_10.ld,r2Pear,init,0.068334980692603825
Duck_6_10.ld,r2Pear,lam,-2.3514450935842098e-07
Duck_6_1.ld,r2Pear,AIC,-613595261.86167848
Duck_6_1.ld,r2Pear,init,0.067878194136212877
Duck_6_1.ld,r2Pear,lam,-2.2974933762418483e-07
Duck_6_2.ld,r2Pear,AIC,-615045254.24388039
Duck_6_2.ld,r2Pear,init,0.068309656853169268
Duck_6_2.ld,r2Pear,lam,-2.516393200220603e-07
Duck_6_3.ld,r2Pear,AIC,-613212287.71973991
Duck_6_3.ld,r2Pear,init,0.068605233225936466
Duck_6_3.ld,r2Pear,lam,-2.4132651938772899e-07
Duck_6_4.ld,r2Pear,AIC,-612837842.43169916
Duck_6_4.ld,r2Pear,init,0.06815847616212474
Duck_6_4.ld,r2Pear,lam,-2.2756170640661904e-07
Duck_6_5.ld,r2Pear,AIC,-612997413.69901347
Duck_6_5.ld,r2Pear,init,0.067907121952774235
Duck_6_5.ld,r2Pear,lam,-2.1932412215306561e-07
Duck_6_6.ld,r2Pear,AIC,-612775727.28603864
Duck_6_6.ld,r2Pear,init,0.068452012857865494
Duck_6_6.ld,r2Pear,lam,-2.3254807838488287e-07
Duck_6_7.ld,r2Pear,AIC,-613414429.16222584
Duck_6_7.ld,r2Pear,init,0.067952873067473205
Duck_6_7.ld,r2Pear,lam,-2.2740675754040891e-07
Duck_6_8.ld,r2Pear,AIC,-613201481.25545692
Duck_6_8.ld,r2Pear,init,0.068197138439557436
Duck_6_8.ld,r2Pear,lam,-2.2562266280913161e-07
Duck_6_9.ld,r2Pear,AIC,-613233780.25246584
Duck_6_9.ld,r2Pear,init,0.067721929061729594
Duck_6_9.ld,r2Pear,lam,-2.2226095568674584e-07
Duck_7_10.ld,r2Pear,AIC,-614354622.81129491
Duck_7_10.ld,r2Pear,init,0.068009796898402003
Duck_7_10.ld,r2Pear,lam,-2.2629200353601765e-07
Duck_7_1.ld,r2Pear,AIC,-613239684.11343205
Duck_7_1.ld,r2Pear,init,0.068751437075337055
Duck_7_1.ld,r2Pear,lam,-2.3846494393911227e-07
Duck_7_2.ld,r2Pear,AIC,-613813303.56385899
Duck_7_2.ld,r2Pear,init,0.068222562150649479
Duck_7_2.ld,r2Pear,lam,-2.3950145467511779e-07
Duck_7_3.ld,r2Pear,AIC,-613323714.78071249
Duck_7_3.ld,r2Pear,init,0.068463106804109997
Duck_7_3.ld,r2Pear,lam,-2.3496495364484002e-07
Duck_7_4.ld,r2Pear,AIC,-611544819.5518198
Duck_7_4.ld,r2Pear,init,0.068304362767315663
Duck_7_4.ld,r2Pear,lam,-2.3009396291086857e-07
Duck_7_5.ld,r2Pear,AIC,-612474800.65700853
Duck_7_5.ld,r2Pear,init,0.06775051118733573
Duck_7_5.ld,r2Pear,lam,-2.0460000950496287e-07
Duck_7_6.ld,r2Pear,AIC,-613459458.98238087
Duck_7_6.ld,r2Pear,init,0.068068034771023272
Duck_7_6.ld,r2Pear,lam,-2.2313822317895764e-07
Duck_7_7.ld,r2Pear,AIC,-613923499.14922869
Duck_7_7.ld,r2Pear,init,0.068538191185799055
Duck_7_7.ld,r2Pear,lam,-2.6922155197304608e-07
Duck_7_8.ld,r2Pear,AIC,-614673172.90890956
Duck_7_8.ld,r2Pear,init,0.067675784053378624
Duck_7_8.ld,r2Pear,lam,-2.3353383385115623e-07
Duck_7_9.ld,r2Pear,AIC,-613108647.85454869
Duck_7_9.ld,r2Pear,init,0.067992000912194928
Duck_7_9.ld,r2Pear,lam,-2.2600468457740215e-07
Duck_8_10.ld,r2Pear,AIC,-612343580.16823018
Duck_8_10.ld,r2Pear,init,0.068607550717074944
Duck_8_10.ld,r2Pear,lam,-2.4318969071348665e-07
Duck_8_1.ld,r2Pear,AIC,-614101583.67090762
Duck_8_1.ld,r2Pear,init,0.067954273423127529
Duck_8_1.ld,r2Pear,lam,-2.2772188857753986e-07
Duck_8_2.ld,r2Pear,AIC,-611448172.21266496
Duck_8_2.ld,r2Pear,init,0.068611881111368178
Duck_8_2.ld,r2Pear,lam,-2.3257847948926468e-07
Duck_8_3.ld,r2Pear,AIC,-616034891.18660283
Duck_8_3.ld,r2Pear,init,0.067924419504532776
Duck_8_3.ld,r2Pear,lam,-2.3691585149428771e-07
Duck_8_4.ld,r2Pear,AIC,-612855308.2120477
Duck_8_4.ld,r2Pear,init,0.068191757577884551
Duck_8_4.ld,r2Pear,lam,-2.3569673407438022e-07
Duck_8_5.ld,r2Pear,AIC,-613622245.43308449
Duck_8_5.ld,r2Pear,init,0.068161933681095313
Duck_8_5.ld,r2Pear,lam,-2.2562909003102676e-07
Duck_8_6.ld,r2Pear,AIC,-612352708.40016484
Duck_8_6.ld,r2Pear,init,0.067935539326040975
Duck_8_6.ld,r2Pear,lam,-2.1474757457908681e-07
Duck_8_7.ld,r2Pear,AIC,-613718897.64210057
Duck_8_7.ld,r2Pear,init,0.06818590477129477
Duck_8_7.ld,r2Pear,lam,-2.3110402076339747e-07
Duck_8_8.ld,r2Pear,AIC,-615014079.47988021
Duck_8_8.ld,r2Pear,init,0.067695763276732074
Duck_8_8.ld,r2Pear,lam,-2.1645286801184288e-07
Duck_8_9.ld,r2Pear,AIC,-612706074.53454673
Duck_8_9.ld,r2Pear,init,0.067910975749652755
